outcome,label,coef,se,t,N,r2
sale_growth,Sales,7.37661056130217,1.36170685084448,5.41717959098719,95284,0.309996890760218
d_log_debt,Debt,3.22466808727544,2.8204186368372,1.14332959127357,95284,0.11909524178096
d_leverage,Leverage,-1.80467708283544,1.20448240611999,-1.49830090806296,95284,0.338666612972672
d_log_cogs,COGS,6.55557577632967,1.22768833607899,5.33977197931763,95284,0.194562510233015
d_log_invt,Inventory,4.0467652890957,1.85886343897862,2.17701053463037,93824,0.152409985338965
d_log_capex,Capex,11.0234600281294,4.56524937255683,2.41464575722741,93593,0.190720610154168
d_log_ppent,PP&E,2.78291256092058,1.18430871050019,2.34982022529009,94901,0.301544731203373
d_log_oi,Operating income,13.3711205996234,9.24172624640797,1.44682067431075,95284,0.11939909639314
d_log_xint,Interest expense,6.31529290343118,3.32735169927599,1.89799380233997,95284,0.0818963059052807
d_log_rect,Receivables,3.96979460248579,1.96746070580035,2.01772497452288,94187,0.168062699457043
