outcome,label,beta_pos,se_pos,t_pos,beta_neg,se_neg,t_neg,diff,se_diff,p_diff,N
sale_growth,Sales,6.64253303882,2.19504990002676,3.02614215683162,7.84994749222643,1.42467304981361,5.50999928948853,-1.20741445340642,2.34834561802234,0.607144577365559,95284
d_log_debt,Debt,5.38146876425816,4.38322057352938,1.22774308843988,1.83395200671538,2.65092354446277,0.691816257977762,3.54751675754278,3.92783345317498,0.366435877683504,95284
d_leverage,Leverage,-1.20608954118691,1.33297279142836,-0.904811822823866,-2.19064938340082,1.3359569633836,-1.63976044396859,0.984559842213913,1.25020371814661,0.430979760457028,95284
d_log_cogs,COGS,5.82292689069588,2.38934580929963,2.43703814995399,7.02799151500255,1.46167349369653,4.80818154349162,-1.20506462430667,2.94564619871135,0.682467005406164,95284
d_log_invt,Inventory,2.22637934624515,2.19754462808016,1.01312133450968,5.22007081239676,1.68941792334391,3.0898635206051,-2.99369146615161,1.59222348560411,0.0600845314378078,93824
d_log_capex,Capex,11.4422845277044,6.71763748030882,1.70331974019807,10.7526520553307,4.45835417764164,2.41179853077948,0.689632472373743,6.07146456406507,0.90956634726799,93593
d_log_ppent,PP&E,1.65359338396184,1.41790415941353,1.16622366397866,3.51030919799684,1.23113094821439,2.85128824280482,-1.856715814035,1.25084091352843,0.137713032169533,94901
d_log_oi,Operating income,3.70331852447861,9.54820993488983,0.387854744473771,19.6049687001924,9.85088604660796,1.99017312832921,-15.9016501757138,9.53155896882053,0.095256344191011,95284
d_log_xint,Interest expense,3.12739990596523,4.84287071262715,0.645773982322291,8.37086257175972,3.89358535363853,2.14991115166827,-5.24346266579449,5.51436687181791,0.34167125270186,95284
d_log_rect,Receivables,1.42794278350922,3.39168488873966,0.42101280937093,5.60907546243968,1.75391059965786,3.1980395486143,-4.18113267893047,3.7169511952055,0.26064177220043,94187
