term,coef,se,t,p,model,N,r2
mps_x_vi_within,0.767664714246673,2.07970784538805,0.369121420563491,0.714718695986831,within_firm,95284,0.309629558091364
vi_within,1.13076466541925,0.268001948393635,4.21924046521634,0.000219940943367194,within_firm,95284,0.309629558091364
log_size_lag,-0.261147007392231,0.00995514855256688,-26.2323566557825,9.41709847779989e-22,within_firm,95284,0.309629558091364
leverage_lag,0.0472702689134256,0.00688696076934732,6.86373430843652,1.53708951608827e-07,within_firm,95284,0.309629558091364
log_ppent_lag,0.0976225191491412,0.00653092759642911,14.9477264458601,3.67544710824178e-15,within_firm,95284,0.309629558091364
log_cash_lag,0.0277704979888673,0.00185944389179312,14.9348405248664,3.75805704638115e-15,within_firm,95284,0.309629558091364
mps_x_vi,7.47698382239496,1.43111027946205,5.22460353314318,1.35872151715526e-05,vi_plus_leverage,95284,0.310014048279968
mps_x_lev,-0.0186294405745118,0.0330911886834444,-0.562972843095001,0.577780353559479,vi_plus_leverage,95284,0.310014048279968
vi_lag,1.26584150590512,0.296739746001198,4.26583065788569,0.000193553381059313,vi_plus_leverage,95284,0.310014048279968
leverage_lag,0.0471468107003255,0.00687255659166617,6.86015605277036,1.55182090423577e-07,vi_plus_leverage,95284,0.310014048279968
log_size_lag,-0.260930962170467,0.00992909070976142,-26.2794418741629,8.95805054753629e-22,vi_plus_leverage,95284,0.310014048279968
log_ppent_lag,0.0975135922156064,0.00652812982945735,14.9374468282767,3.74119541426839e-15,vi_plus_leverage,95284,0.310014048279968
log_cash_lag,0.0275994519045175,0.00186551171783968,14.7945744004645,4.79138857303139e-15,vi_plus_leverage,95284,0.310014048279968
mps_x_vi,7.026570173605,2.00272568214931,3.50850355404847,0.0026939158763256,pre_2008,64248,0.334339661617077
vi_lag,1.4746876870659,0.354531510353576,4.15953912134688,0.000656545505410781,pre_2008,64248,0.334339661617077
log_size_lag,-0.293389632579126,0.0190586113811642,-15.3940718298651,2.05025297238396e-11,pre_2008,64248,0.334339661617077
leverage_lag,0.0400035220257155,0.00796141398242189,5.0246755305075,0.000104067731829566,pre_2008,64248,0.334339661617077
log_ppent_lag,0.0983515333467529,0.00890839699682177,11.040317734138,3.56201728343026e-09,pre_2008,64248,0.334339661617077
log_cash_lag,0.0269631922190091,0.00228188372584136,11.8161990085921,1.27377154183667e-09,pre_2008,64248,0.334339661617077
mps_x_vi,16.7544176825781,4.69455416614428,3.56890496725034,0.00440351200838368,post_2008,30642,0.403996002968747
vi_lag,0.748427198715282,0.667379812991689,1.12144117059861,0.285984633200857,post_2008,30642,0.403996002968747
log_size_lag,-0.414346732603534,0.0343847514557954,-12.0503047153391,1.11431056285036e-07,post_2008,30642,0.403996002968747
leverage_lag,0.0482404428816797,0.0103255553593077,4.67194656393903,0.000680388962038681,post_2008,30642,0.403996002968747
log_ppent_lag,0.127982303018867,0.0172507016386605,7.41896217902504,1.32789287529367e-05,post_2008,30642,0.403996002968747
log_cash_lag,0.0323668276888096,0.00513515111203594,6.30299420263352,5.81308684491609e-05,post_2008,30642,0.403996002968747
mps_x_vi_lead,0.872437304737694,1.12180951169311,0.777705390838549,0.44326471761385,lead_placebo,84740,0.307730438698073
vi_lag,1.04101446549961,0.271670043244406,3.83190746048902,0.000658268648475448,lead_placebo,84740,0.307730438698073
log_size_lag,-0.261815369208404,0.0100343365206702,-26.0919462556472,3.43251264324354e-21,lead_placebo,84740,0.307730438698073
leverage_lag,0.0480357007535455,0.00765034906000955,6.27889007112644,8.6697952771477e-07,lead_placebo,84740,0.307730438698073
log_ppent_lag,0.09328430067087,0.00644665532343079,14.4701858546434,1.59828980499328e-14,lead_placebo,84740,0.307730438698073
log_cash_lag,0.0238838342568462,0.00186655410482654,12.7956828013115,3.22766729328999e-13,lead_placebo,84740,0.307730438698073
